x_m,y_m
70.12508975692073,-16.117273144526884
70.22168233872596,-16.143144569731252
70.31827616971351,-16.16901130328425
70.4148717139957,-16.194873511556946
70.51146874937757,-16.220731177068142
70.60806695776749,-16.24658425667507
70.7046663139315,-16.272432785650487
70.8012667926356,-16.298276799267143
70.89786836864586,-16.32411633279781
70.99447101672833,-16.349951421515236
71.091074711649,-16.37578210069218
71.18767942817396,-16.401608405601404
71.28428514106923,-16.427430371515662
71.38089182510085,-16.453248033707712
71.47749945503486,-16.479061427450315
71.57410800563727,-16.50487058801622
71.67071745167414,-16.530675550678193
71.76732776791154,-16.556476350708994
71.86393892911545,-16.582273023381376
71.96055091005194,-16.60806560396809
72.05716368548703,-16.633854127741902
72.15377723018678,-16.65963862997557
72.25039151891723,-16.685419145941857
72.34700652644439,-16.711195710913504
72.4436222275343,-16.73696836016328
72.54023859695305,-16.76273712896395
72.63685560946662,-16.788502052588257
72.73347323984106,-16.81426316630896
72.83009146284242,-16.84002050539882
72.92671025323675,-16.865774105130605
73.02332958579007,-16.89152400077706
73.11994943526838,-16.917270227610945
73.2165697764378,-16.943012820905018
73.31319788542433,-16.9687537608315
73.40983401304037,-16.994493155762505
73.50647054861017,-17.02022902095516
73.60310746141538,-17.045961391069188
73.69974472073775,-17.071690300764285
73.79638229585898,-17.097415784700164
73.89302015606071,-17.123137877536514
73.98965827062467,-17.148856613933056
74.08629660883258,-17.174572028549484
74.1829351399661,-17.20028415604551
74.27957383330691,-17.225993031080836
74.37621265813674,-17.251698688315162
74.4728515837373,-17.277401162408207
74.56949057939025,-17.303100488019666
74.66612961437727,-17.32879669980924
74.76276865798008,-17.354489832436638
74.8594076794804,-17.38017992056157
74.9560466481599,-17.405866998843734
75.05268553330025,-17.431551101942834
75.1493243041832,-17.45723226451858
75.24596293009039,-17.482910521230675
75.34260138030358,-17.508585906738833
75.43923962410437,-17.534258455702737
75.53587763077454,-17.55992820278211
75.63251536959577,-17.585595182636652
75.72915280984972,-17.611259429926072
75.82578992081812,-17.636920979310062
75.92242667178263,-17.662579865448336
76.01906303202499,-17.6882361230006
76.11569897082688,-17.713889786626556
76.2123447638947,-17.73954362659327
76.30900839385384,-17.765199802525785
76.40567154346272,-17.79085349233548
76.50233420665067,-17.816504734598663
76.59899637734702,-17.842153567891646
76.69565804948118,-17.867800030790743
76.79231921698248,-17.89344416187228
76.88897987378027,-17.919085999712557
76.98564001380389,-17.94472558288789
77.08229963098267,-17.97036294997459
77.17895871924604,-17.99599813954898
77.27561727252328,-18.021631190187374
77.37227528474376,-18.047262140466067
77.46893274983684,-18.07289102896139
